date,VTI,XLK,XLE,XLV,VLUE,MTUM,USMV,SPHQ,AAA,AAB,BBA,BBB,CCA,DDD
2025-10-02,0.0104381050,0.0152221613,0.0111349245,0.0032021619,0.0132555320,0.0069155434,0.0024504917,0.0091136202,0.0034058399,0.0038705980,0.0181930722,0.0162737224,0.0098454101,0.0160897966
2025-10-03,0.0109427928,0.0149288707,0.0128714237,0.0031807583,0.0140728219,0.0081315393,0.0026495987,0.0088378813,0.0052287618,0.0065552739,0.0188082493,0.0174327788,0.0108462342,0.0187162010
2025-10-06,0.0107172897,0.0137697336,0.0138378806,0.0027129026,0.0140166120,0.0088285672,0.0025582637,0.0080028920,0.0070392439,0.0092776987,0.0174360215,0.0170976894,0.0109479038,0.0198887771
2025-10-07,0.0097859900,0.0117969557,0.0140037095,0.0018213141,0.0131006278,0.0089651430,0.0021892151,0.0066437714,0.0084897300,0.0113699459,0.0143697172,0.0153141277,0.0101297039,0.0194777156
2025-10-08,0.0082391255,0.0091339645,0.0134020604,0.0005746905,0.0114085292,0.0085568524,0.0015886293,0.0048444056,0.0092629452,0.0122454887,0.0101337428,0.0122898335,0.0084567754,0.0175195464
2025-10-09,0.0062241570,0.0059655424,0.0121245539,-0.0009185541,0.0090861870,0.0076729024,0.0008313582,0.0027306396,0.0090937480,0.0115271186,0.0053904082,0.0083799020,0.0060741866,0.0142152615
2025-10-10,0.0039317156,0.0025222020,0.0103110409,-0.0025204485,0.0063285897,0.0064273283,0.0000131609,0.0004594475,0.0077936679,0.0091275191,0.0008266587,0.0040509615,0.0031937542,0.0099104733
2025-10-13,0.0015774372,-0.0009397627,0.0081354302,-0.0040765560,0.0033625858,0.0049658553,-0.0007593006,-0.0017949172,0.0052864689,0.0052679031,-0.0029571433,-0.0001734246,0.0000748248,0.0050595731
2025-10-14,-0.0006185801,-0.0041607073,0.0057889717,-0.0054307516,0.0004270366,0.0034498319,-0.0013797131,-0.0038564974,0.0016529693,0.0004351893,-0.0055355839,-0.0037800321,-0.0029992306,0.0001776472
2025-10-15,-0.0024527369,-0.0069004688,0.0034625949,-0.0064402734,-0.0022478214,0.0020389237,-0.0017535016,-0.0055634785,-0.0028285512,-0.0047084579,-0.0067087264,-0.0063366712,-0.0057466741,-0.0042147010
2025-10-16,-0.0037573131,-0.0089594763,0.0013299638,-0.0069896127,-0.0044599473,0.0008743617,-0.0018082231,-0.0067828140,-0.0076679236,-0.0094414166,-0.0065085983,-0.0075552659,-0.0079128883,-0.0076476405
2025-10-17,-0.0044164212,-0.0101961777,-0.0004671931,-0.0070019113,-0.0060522606,0.0000644513,-0.0015019267,-0.0074222600,-0.0121955206,-0.0130993005,-0.0051649891,-0.0073364507,-0.0092933933,-0.0097533544
2025-10-20,-0.0043770115,-0.0105391686,-0.0018301582,-0.0064467747,-0.0069251294,-0.0003261958,-0.0008286264,-0.0074386842,-0.0156518006,-0.0151719375,-0.0030419733,-0.0057871077,-0.0097523273,-0.0103065786
2025-10-21,-0.0036538798,-0.0099929033,-0.0027097582,-0.0053437457,-0.0070435216,-0.0002826472,0.0001796855,-0.0068418713,-0.0173262538,-0.0153677264,-0.0005613332,-0.0032064101,-0.0092347377,-0.0092499174
2025-10-22,-0.0023282020,-0.0086364746,-0.0031078553,-0.0037610991,-0.0064382596,0.0001597091,0.0014547321,-0.0056934671,-0.0167186366,-0.0136412647,0.0018703646,-0.0000412461,-0.0077715974,-0.0067010615
2025-10-23,-0.0005397330,-0.0066156009,-0.0030737937,-0.0018100594,-0.0052013651,0.0009198784,0.0028972380,-0.0041011669,-0.0136816914,-0.0101873970,0.0039176625,0.0031826229,-0.0054771193,-0.0029410051
2025-10-24,0.0015265835,-0.0041285952,-0.0026962864,0.0003650192,-0.0034760268,0.0018807830,0.0043853526,-0.0022086963,-0.0085023943,-0.0054089076,0.0053478136,0.0059427483,-0.0025386398,0.0016155526
2025-10-27,0.0036583194,-0.0014076572,-0.0020916636,0.0025995889,-0.0014422106,0.0029025663,0.0057854423,-0.0001825353,-0.0018904034,0.0001342599,0.0060378403,0.0078018852,0.0007999921,0.0064644760
2025-10-28,0.0056358907,0.0013027361,-0.0013897452,0.0047237407,0.0007006805,0.0038382549,0.0069642575,0.0018033623,0.0051346053,0.0057880599,0.0059627611,0.0084757106,0.0042600009,0.0110663540
2025-10-29,0.0072535744,0.0037682985,-0.0007188146,0.0065775355,0.0027524363,0.0045501267,0.0078013332,0.0035834142,0.0114371274,0.0108757070,0.0051741075,0.0078748257,0.0075522867,0.0149046766
2025-10-30,0.0083392065,0.0057861450,-0.0001912416,0.0080253866,0.0045302065,0.0049250574,0.0082004562,0.0050153268,0.0159977319,0.0147743692,0.0037780250,0.0061140349,0.0104028240,0.0175416879
2025-10-31,0.0087706858,0.0072027582,0.0001087845,0.0089681381,0.0058845263,0.0048872294,0.0080991051,0.0059926888,0.0181261259,0.0169930439,0.0019194940,0.0034877514,0.0125765770,0.0186658148
2025-11-03,0.0084877077,0.0079270384,0.0001341775,0.0093517037,0.0067117489,0.0044068584,0.0074749585,0.0064540643,0.0176020026,0.0172443648,-0.0002253484,0.0004164519,0.0138977987,0.0181254891
2025-11-04,0.0074976099,0.0079372425,-0.0001203570,0.0091714547,0.0069618000,0.0035040049,0.0063488288,0.0063877477,0.0147088209,0.0154994796,-0.0024515063,-0.0026258090,0.0142649181,0.0159456600
2025-11-05,0.0058747718,0.0072812024,-0.0006183166,0.0084719558,0.0066406311,0.0022470432,0.0047837190,0.0058317575,0.0101541345,0.0120130685,-0.0045280261,-0.0051896780,0.0136587196,0.0123251968
2025-11-06,0.0037536244,0.0060698582,-0.0012860582,0.0073420834,0.0058072635,0.0007459150,0.0028800529,0.0048690981,0.0048999668,0.0073069345,-0.0062081635,-0.0069208265,0.0121431294,0.0076154720
2025-11-07,0.0013159372,0.0044647799,-0.0020216151,0.0059060054,0.0045658351,-0.0008591670,0.0007674933,0.0036187731,-0.0000508963,0.0021062954,-0.0072513214,-0.0076105681,0.0098585950,0.0022824783
2025-11-10,-0.0012264080,0.0026609252,-0.0027067531,0.0043108926,0.0030535348,-0.0024124197,-0.0014059209,0.0022234340,-0.0038583152,-0.0027676474,-0.0074568926,-0.0072191438,0.0070087078,-0.0031433660
2025-11-11,-0.0036515126,0.0008663316,-0.0032210105,0.0027125395,0.0014256918,-0.0037590901,-0.0034863356,0.0008348709,-0.0059907358,-0.0065341899,-0.0067049338,-0.0058694326,0.0038413270,-0.0081242314
2025-11-12,-0.0057485122,-0.0007192672,-0.0034562581,0.0012602755,-0.0001604592,-0.0047622381,-0.0053271965,-0.0004012485,-0.0062862679,-0.0085943426,-0.0049942680,-0.0038143651,0.0006259431,-0.0121724852
2025-11-13,-0.0073375770,-0.0019248164,-0.0033302524,0.0000826065,-0.0015617072,-0.0053179459,-0.0068017220,-0.0013599138,-0.0049269734,-0.0086474863,-0.0024666796,-0.0013858890,-0.0023706497,-0.0149026271
2025-11-14,-0.0082869538,-0.0026253229,-0.0027977450,-0.0007250392,-0.0026629196,-0.0053673421,-0.0078135966,-0.0019491771,-0.0023473446,-0.0067560586,0.0005927673,0.0010639008,-0.0049081726,-0.0160719283
2025-11-17,-0.0085254271,-0.0027545541,-0.0018579421,-0.0011092922,-0.0033878540,-0.0049041311,-0.0083049148,-0.0021192327,0.0008884365,-0.0033400985,0.0037846574,0.0032183403,-0.0067940308,-0.0156054179
2025-11-18,-0.0080490112,-0.0023118182,-0.0005574607,-0.0010636957,-0.0037057039,-0.0039767654,-0.0082606596,-0.0018672950,0.0042046774,0.0009016244,0.0066519301,0.0048390477,-0.0078999521,-0.0136025897
2025-11-19,-0.0069212355,-0.0013621633,0.0010116293,-0.0006289715,-0.0036327856,-0.0026849303,-0.0077093259,-0.0012378057,0.0071019392,0.0051300784,0.0087555701,0.0057899996,-0.0081726348,-0.0103252248
2025-11-20,-0.0052669970,-0.0000299701,0.0027186024,0.0001113215,-0.0032292696,-0.0011705920,-0.0067196547,-0.0003179500,0.0092045936,0.0085353340,0.0097546589,0.0060410557,-0.0076375008,-0.0061677880
2025-11-21,-0.0032605657,0.0015134470,0.0044051570,0.0010393160,-0.0025913536,0.0003955876,-0.0053938100,0.0007710852,0.0102739911,0.0104995720,0.0094735471,0.0056533275,-0.0063952780,-0.0016137547
2025-11-24,-0.0011088877,0.0030670359,0.0058997835,0.0020147297,-0.0018397294,0.0018311747,-0.0038576554,0.0018862688,0.0102025171,0.0107168607,0.0079404324,0.0047520180,-0.0046117861,0.0028172648
2025-11-25,0.0009682228,0.0044203367,0.0070340864,0.0028889798,-0.0011055656,0.0029605726,-0.0022490551,0.0028771248,0.0090043586,0.0092424424,0.0053871749,0.0034940271,-0.0025019097,0.0066257754
