Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
CORPAY INC,CPAY,219948106,BMX5GK7,0.040795,-,799969,USD
AMERICAN WATER WORKS CO INC,AWK,030420103,B2R3PV1,0.040661,-,2389558,USD
XYLEM INC,XYL,98419M100,B3P2CN8,0.040581,-,2908921,USD
EVERSOURCE ENERGY,ES,30040W108,BVVN4Q8,0.040368,-,4595666,USD
CINCINNATI FINANCIAL CORP,CINF,172062101,2196888,0.040134,-,1893269,USD
QNITY ELECTRONICS INC,Q,74743L100,BW1P234,0.040087,-,2560091,USD
FAIR ISAAC CORP,FICO,303250104,2330299,0.039859,-,283443,USD
TAPESTRY INC,TPR,876030107,BF09HX3,0.039847,-,2476341,USD
PPL CORP,PPL,69351T106,2680905,0.039838,-,9206888,USD
REGIONS FINANCIAL CORP,RF,7591EP100,B01R311,0.039558,-,10443369,USD
SMURFIT WESTROCK PLC,SW,G8267P108,BRK49M5,0.039259,-,6422606,USD
ESTEE LAUDER COMPANIES CL A,EL,518439104,2320524,0.039115,-,3016699,USD
CENTERPOINT ENERGY INC,CNP,15189T107,2440637,0.038525,-,8002353,USD
PPG INDUSTRIES INC,PPG,693506107,2698470,0.038334,-,2727563,USD
DARDEN RESTAURANTS INC,DRI,237194105,2289874,0.038196,-,1401333,USD
OMNICOM GROUP,OMC,681919106,2279303,0.03804,-,3487584,USD
PULTEGROUP INC,PHM,745867101,2708841,0.037717,-,2330725,USD
EXPEDITORS INTL WASH INC,EXPD,302130109,2325507,0.037422,-,1600676,USD
VERISK ANALYTICS INC,VRSK,92345Y106,B4P9W92,0.037375,-,1603441,USD
WEST PHARMACEUTICAL SERVICES,WST,955306105,2950482,0.037257,-,864552,USD
HUBBELL INC,HUBB,443510607,BDFG6S3,0.037138,-,646968,USD
DOLLAR TREE INC,DLTR,256746108,2272476,0.036855,-,2216156,USD
FIRSTENERGY CORP,FE,337932107,2100920,0.036728,-,6370593,USD
VERALTO CORP,VLTO,92338C103,BPGMZQ5,0.036706,-,3005218,USD
CHURCH + DWIGHT CO INC,CHD,171340102,2195841,0.036681,-,2892135,USD
T ROWE PRICE GROUP INC,TROW,74144T108,2702337,0.036597,-,2621960,USD
VERISIGN INC,VRSN,92343E102,2142922,0.036393,-,1001832,USD
NRG ENERGY INC,NRG,629377508,2212922,0.036271,-,2581698,USD
ULTA BEAUTY INC,ULTA,90384S303,B28TS42,0.035401,-,532878,USD
STERIS PLC,STE,G8473T100,BFY8C75,0.035095,-,1200288,USD
EQUIFAX INC,EFX,294429105,2319146,0.034577,-,1457118,USD
EXPAND ENERGY CORP,EXE,165167735,BMZ5LZ5,0.034297,-,2929909,USD
INTL FLAVORS + FRAGRANCES,IFF,459506101,2464165,0.033755,-,3131653,USD
FIRST SOLAR INC,FSLR,336433107,B1HMF22,0.033601,-,1313772,USD
PRINCIPAL FINANCIAL GROUP,PFG,74251V102,2803014,0.033184,-,2404698,USD
PACKAGING CORP OF AMERICA,PKG,695156109,2504566,0.033027,-,1083266,USD
GLOBAL PAYMENTS INC,GPN,37940X102,2712013,0.033014,-,2845539,USD
AMCOR PLC,AMCR,G0250X149,BV7DQ55,0.032843,-,5618498,USD
KRAFT HEINZ CO/THE,KHC,500754106,BYRY499,0.032817,-,10480647,USD
DOW INC,DOW,260557103,BHXCF84,0.032781,-,8789213,USD
INTERNATIONAL PAPER CO,IP,460146103,2465254,0.032776,-,6466041,USD
SUPER MICRO COMPUTER INC,SMCI,86800U302,BRC3N73,0.032753,-,6886505,USD
INCYTE CORP,INCY,45337C102,2471950,0.032713,-,2039285,USD
TEXAS PACIFIC LAND CORP,TPL,88262P102,BM99VY2,0.032674,-,708754,USD
F5 INC,FFIV,315616102,2427599,0.032642,-,689635,USD
BROWN + BROWN INC,BRO,115236101,2692687,0.032352,-,3567169,USD
BROADRIDGE FINANCIAL SOLUTIO,BR,11133T103,B1VP7R6,0.032347,-,1415303,USD
GENERAL MILLS INC,GIS,370334104,2367026,0.032127,-,6530677,USD
REDDIT INC CL A,RDDT,75734B100,BMVNLY2,0.032004,-,1593080,USD
CMS ENERGY CORP,CMS,125896100,2219224,0.031987,-,3762950,USD
FIDELITY NATIONAL INFO SERV,FIS,31620M106,2769796,0.031657,-,6325581,USD
SNAP ON INC,SNA,833034101,2818740,0.03093,-,633909,USD
KEYCORP,KEY,493267108,2490911,0.030529,-,11277888,USD
WR BERKLEY CORP,WRB,084423102,2093644,0.030475,-,3598680,USD
SOUTHWEST AIRLINES CO,LUV,844741108,2831543,0.030184,-,5979447,USD
SBA COMMUNICATIONS CORP,SBAC,78410G104,BZ6TS23,0.030105,-,1297541,USD
CF INDUSTRIES HOLDINGS INC,CF,125269100,B0G4K50,0.029587,-,1880022,USD
HUNT (JB) TRANSPRT SVCS INC,JBHT,445658107,2445416,0.029541,-,911142,USD
VIATRIS INC,VTRS,92556V106,BMWS3X9,0.029435,-,14235980,USD
NISOURCE INC,NI,65473P105,2645409,0.029411,-,5850747,USD
ZIMMER BIOMET HOLDINGS INC,ZBH,98956P102,2783815,0.029346,-,2367386,USD
GENUINE PARTS CO,GPC,372460105,2367480,0.028734,-,1684351,USD
LENNAR CORP A,LEN,526057104,2511920,0.028563,-,2634269,USD
CONSTELLATION BRANDS INC A,STZ,21036P108,2170473,0.028496,-,1706748,USD
EVERGY INC,EVRG,30034W106,BFMXGR0,0.028404,-,2821392,USD
ESSEX PROPERTY TRUST INC,ESS,297178105,2316619,0.028385,-,786089,USD
LOEWS CORP,L,540424108,2523022,0.028297,-,2065004,USD
TRACTOR SUPPLY COMPANY,TSCO,892356106,2900335,0.02808,-,6417988,USD
DUPONT DE NEMOURS INC,DD,26614N201,BW60F13,0.027925,-,1659925,USD
CDW CORP/DE,CDW,12514G108,BBM5MD6,0.02747,-,1563322,USD
FORTIVE CORP,FTV,34959J108,BYT3MK1,0.027452,-,3730943,USD
JACOBS SOLUTIONS INC,J,46982L108,BNGC0D3,0.026953,-,1444646,USD
CHARTER COMMUNICATIONS INC A,CHTR,16119P108,BZ6VT82,0.026797,-,1396764,USD
NORDSON CORP,NDSN,655663102,2641838,0.026762,-,648740,USD
ALLIANT ENERGY CORP,LNT,018802108,2973821,0.026562,-,3143000,USD
WEYERHAEUSER CO,WY,962166104,2958936,0.026457,-,8757424,USD
PTC INC,PTC,69370C100,B95N910,0.02642,-,1413571,USD
NVR INC,NVR,62944T105,2637785,0.026193,-,32921,USD
ZEBRA TECHNOLOGIES CORP CL A,ZBRA,989207105,2989356,0.026002,-,583214,USD
BALL CORP,BALL,058498106,2073022,0.025817,-,3257923,USD
IDEX CORP,IEX,45167R104,2456612,0.025793,-,905791,USD
C.H. ROBINSON WORLDWIDE INC,CHRW,12541W209,2116228,0.025622,-,1442235,USD
LEIDOS HOLDINGS INC,LDOS,525327102,BDV82B8,0.025612,-,1539376,USD
BEST BUY CO INC,BBY,086516101,2094670,0.025379,-,2406230,USD
INVITATION HOMES INC,INVH,46187W107,BD81GW9,0.024987,-,6688363,USD
KIMCO REALTY CORP,KIM,49446R109,2491594,0.024556,-,8253123,USD
LYONDELLBASELL INDU CL A,LYB,N53745100,B3SPXZ3,0.024532,-,3171483,USD
TYSON FOODS INC CL A,TSN,902494103,2909730,0.024408,-,3452480,USD
GEN DIGITAL INC,GEN,668771108,BJN4XN5,0.024313,-,6707704,USD
ALBEMARLE CORP,ALB,012653101,2046853,0.023736,-,1441199,USD
AKAMAI TECHNOLOGIES INC,AKAM,00971T101,2507457,0.023262,-,1778967,USD
MID AMERICA APARTMENT COMM,MAA,59522J103,2589132,0.023239,-,1423856,USD
STANLEY BLACK + DECKER INC,SWK,854502101,B3Q2FJ4,0.023162,-,1902292,USD
BUNGE GLOBAL SA,BG,H11356104,BQ6BPG9,0.023031,-,1667194,USD
HEALTHPEAK PROPERTIES INC,DOC,42250P103,BJBLRK3,0.022686,-,8469636,USD
EVEREST GROUP LTD,EG,G3223R108,2556868,0.022483,-,484312,USD
MASCO CORP,MAS,574599106,2570200,0.022335,-,2476798,USD
TYLER TECHNOLOGIES INC,TYL,902252105,2909644,0.022323,-,515664,USD
HOST HOTELS + RESORTS INC,HST,44107P104,2567503,0.022169,-,7794408,USD
APA CORP,APA,03743Q108,BNNF1C1,0.022119,-,4325665,USD
INVESCO LTD,IVZ,G491BT108,B28XP76,0.021998,-,5436596,USD
CHARLES RIVER LABORATORIES,CRL,159864107,2604336,0.021697,-,589474,USD
COOPER COS INC/THE,COO,216648501,BQPDXR3,0.021561,-,2387125,USD
TEXTRON INC,TXT,883203101,2885937,0.02148,-,2123399,USD
ASSURANT INC,AIZ,04621X108,2331430,0.021391,-,606612,USD
LAS VEGAS SANDS CORP,LVS,517834107,B02T2J7,0.02133,-,3648994,USD
RALPH LAUREN CORP,RL,751212101,B4V9661,0.021264,-,474211,USD
FOX CORP   CLASS A,FOXA,35137L105,BJJMGL2,0.021234,-,2441423,USD
FEDEX FREIGHT HOLDING CO,FDXF,314352105,BVSVT37,0.021117,-,1326283,USD
REVVITY INC,RVTY,714046109,2305844,0.021081,-,1365500,USD
MCCORMICK + CO NON VTG SHRS,MKC,579780206,2550161,0.021004,-,3117622,USD
TRIMBLE INC,TRMB,896239100,2903958,0.020965,-,2852603,USD
AVERY DENNISON CORP,AVY,053611109,2066408,0.020824,-,935787,USD
BAXTER INTERNATIONAL INC,BAX,071813109,2085102,0.020642,-,6349265,USD
ALLEGION PLC,ALLE,G0176J109,BFRT3W7,0.020621,-,1039809,USD
SOLVENTUM CORP,SOLV,83444M101,BMTQB43,0.020404,-,1801088,USD
COSTAR GROUP INC,CSGP,22160N109,2262864,0.020278,-,4997683,USD
JM SMUCKER CO/THE,SJM,832696405,2951452,0.02025,-,1305295,USD
GLOBE LIFE INC,GL,37959E102,BK6YKG1,0.020239,-,950197,USD
GODADDY INC   CLASS A,GDDY,380237107,BWFRFC6,0.019998,-,1620570,USD
GARTNER INC,IT,366651107,2372763,0.019841,-,819486,USD
HASBRO INC,HAS,418056107,2414580,0.019529,-,1632409,USD
CLOROX COMPANY,CLX,189054109,2204026,0.019304,-,1487705,USD
REGENCY CENTERS CORP,REG,758849103,2726177,0.019133,-,2016610,USD
DECKERS OUTDOOR CORP,DECK,243537107,2267278,0.018994,-,1730879,USD
LULULEMON ATHLETICA INC,LULU,550021109,B23FN39,0.018755,-,1281675,USD
JACK HENRY + ASSOCIATES INC,JKHY,426281101,2469193,0.018664,-,869296,USD
LENNOX INTERNATIONAL INC,LII,526107107,2442053,0.018631,-,387238,USD
TKO GROUP HOLDINGS INC,TKO,87256C101,BQBBFD1,0.018422,-,770243,USD
PINNACLE WEST CAPITAL,PNW,723484101,2048804,0.017922,-,1483869,USD
GENERAC HOLDINGS INC,GNRC,368736104,B6197Q2,0.017809,-,713699,USD
ECHOSTAR CORP A,ECHO,278768106,B2NC471,0.017689,-,1653304,USD
HUNTINGTON INGALLS INDUSTRIE,HII,446413106,B40SSC9,0.017281,-,479969,USD
BIO TECHNE CORP,TECH,09073M104,BSHZ3Q0,0.017167,-,1919251,USD
UDR INC,UDR,902653104,2727910,0.017078,-,3617976,USD
NEWS CORP   CLASS A,NWSA,65249B109,BBGVT40,0.017073,-,4465045,USD
CAMDEN PROPERTY TRUST,CPT,133131102,2166320,0.016468,-,1229871,USD
FACTSET RESEARCH SYSTEMS INC,FDS,303075105,2329770,0.016321,-,445748,USD
FRANKLIN TEMPLETON INC,BEN,354613101,2350684,0.016254,-,3752232,USD
DOMINO S PIZZA INC,DPZ,25754A201,B01SD70,0.016213,-,374685,USD
ROLLINS INC,ROL,775711104,2747305,0.016162,-,3594318,USD
BXP INC,BXP,101121101,2019479,0.016132,-,1808602,USD
ALIGN TECHNOLOGY INC,ALGN,016255101,2679204,0.015917,-,806434,USD
AES CORP,AES,00130H105,2002479,0.015897,-,8726999,USD
PENTAIR PLC,PNR,G7S00T104,BLS09M3,0.015277,-,1977890,USD
INSULET CORP,PODD,45784P101,B1XGNW4,0.014993,-,847538,USD
SKYWORKS SOLUTIONS INC,SWKS,83088M102,2961053,0.014953,-,1840407,USD
APTIV PLC,APTV,G3265R107,BTDN8H1,0.014952,-,2592926,USD
UNIVERSAL HEALTH SERVICES B,UHS,913903100,2923785,0.014177,-,652243,USD
FEDERAL REALTY INVS TRUST,FRT,313745101,BN7P9B2,0.014056,-,965300,USD
FOX CORP   CLASS B,FOX,35137L204,BJJMGY5,0.013272,-,1711954,USD
HENRY SCHEIN INC,HSIC,806407102,2416962,0.013135,-,1184823,USD
WYNN RESORTS LTD,WYNN,983134107,2963811,0.012527,-,1025932,USD
ALEXANDRIA REAL ESTATE EQUIT,ARE,015271109,2009210,0.01251,-,1912309,USD
MGM RESORTS INTERNATIONAL,MGM,552953101,2547419,0.01244,-,2321120,USD
NORWEGIAN CRUISE LINE HOLDIN,NCLH,G66721104,B9CGTC3,0.012075,-,5657136,USD
MOSAIC CO/THE,MOS,61945C103,B3NPHP6,0.011758,-,3917686,USD
BUILDERS FIRSTSOURCE INC,BLDR,12008R107,B0BV2M7,0.011288,-,1316006,USD
SMITH (A.O.) CORP,AOS,831865209,2816023,0.010527,-,1369675,USD
HORMEL FOODS CORP,HRL,440452100,2437264,0.010496,-,3569073,USD
MOLSON COORS BEVERAGE CO   B,TAP,60871R209,B067BM3,0.010199,-,1963267,USD
ERIE INDEMNITY COMPANY CL A,ERIE,29530P102,2311711,0.009913,-,310730,USD
DAVITA INC,DVA,23918K108,2898087,0.008643,-,393098,USD
TRADE DESK INC/THE  CLASS A,TTD,88339J105,BD8FDD1,0.008561,-,5225059,USD
BROWN FORMAN CORP CLASS B,BF.B,115637209,2146838,0.007181,-,2060716,USD
NEWS CORP   CLASS B,NWS,65249B208,BBGVT51,0.006488,-,1492543,USD
PARAMOUNT SKYDANCE CL B,PSKY,69932A204,BSNMNQ5,0.005074,-,3845797,USD
